Date,Time,Open,High,Low,Close,Volume
2024-11-14,00:00:00,90375.21,90511.63,89685.1,90104.93,1980.1319
2024-11-14,01:00:00,90104.93,90444.0,89458.13,90372.01,2341.26104
2024-11-14,02:00:00,90372.0,90566.0,89664.0,90104.01,1526.15424
2024-11-14,03:00:00,90104.0,90220.0,89531.86,89937.02,1506.55837
2024-11-14,04:00:00,89937.03,90192.35,89320.37,90123.99,1549.89871
2024-11-14,05:00:00,90123.99,90123.99,89647.19,89957.22,1094.80806
2024-11-14,06:00:00,89957.23,90308.83,89283.5,89300.69,1465.14038
2024-11-14,07:00:00,89309.41,90850.0,89104.54,90769.42,2087.50442
2024-11-14,08:00:00,90769.42,91438.41,90329.8,90558.28,2547.27054
2024-11-14,09:00:00,90558.28,90918.18,90368.0,90909.01,1359.2503
2024-11-14,10:00:00,90909.01,91424.0,90840.01,91103.0,1937.65192
2024-11-14,11:00:00,91102.99,91657.77,90472.0,91491.86,2287.83266
2024-11-14,12:00:00,91491.85,91599.99,90945.0,91243.17,1587.33383
2024-11-14,13:00:00,91243.17,91380.0,90559.65,90754.42,2037.91332
2024-11-14,14:00:00,90754.42,91790.0,88639.76,88720.03,5271.45761
2024-11-14,15:00:00,88720.03,89638.5,87829.57,87947.99,6221.33894
2024-11-14,16:00:00,87947.99,89239.79,87526.74,89198.31,3863.10102
2024-11-14,17:00:00,89198.32,89449.49,88584.0,89239.35,1958.59519
2024-11-14,18:00:00,89239.35,89775.24,88916.8,89111.55,1486.62454
2024-11-14,19:00:00,89111.55,89664.19,89111.54,89463.99,1223.63851
2024-11-14,20:00:00,89463.99,89464.0,87565.01,87612.66,3373.06448
2024-11-14,21:00:00,87612.67,88280.91,87029.65,88227.22,3405.0167
2024-11-14,22:00:00,88227.23,88360.0,87050.0,87640.01,1875.13133
2024-11-14,23:00:00,87640.01,87771.85,86668.21,87325.59,2742.83285
2024-11-15,00:00:00,87325.59,88435.16,87252.0,87870.27,2102.34838
2024-11-15,01:00:00,87870.26,88168.63,87373.45,88098.99,1707.79199
2024-11-15,02:00:00,88098.99,88443.83,87736.0,88364.07,1227.36308
2024-11-15,03:00:00,88364.07,88473.7,88116.0,88218.21,995.01845
2024-11-15,04:00:00,88218.22,88242.43,87073.38,87454.57,2138.56254
2024-11-15,05:00:00,87454.58,87860.46,87276.01,87724.0,1229.77864
2024-11-15,06:00:00,87724.0,88182.69,87584.2,88182.67,1425.90985
2024-11-15,07:00:00,88182.68,88391.99,87588.0,87612.0,2089.72502
2024-11-15,08:00:00,87612.01,88165.91,87368.0,88082.96,1347.90092
2024-11-15,09:00:00,88082.96,89350.0,88024.4,89195.99,2296.3023
2024-11-15,10:00:00,89195.99,89458.13,88943.53,89354.55,1429.92991
2024-11-15,11:00:00,89354.54,89771.99,89138.94,89741.25,1566.32537
2024-11-15,12:00:00,89741.24,90709.74,89591.55,89753.84,2627.03494
2024-11-15,13:00:00,89753.84,90482.3,89241.57,90148.0,1904.87357
